@relation dataset_accelerometer

@attribute id numeric
@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute timestamp numeric
@attribute tag {OTHER,POCKET}

@data
0,0.076614,-0.316035,10.007763,381837129575176,OTHER
1,0.009577,-0.354342,9.959879,381837149655351,OTHER
2,-0.019154,-0.325611,10.026917,381837169735525,OTHER
3,-0.02873,-0.23942,10.007763,381837189815701,OTHER
4,-0.02873,-0.316035,10.026917,381837209895875,OTHER
5,-0.019154,-0.373495,10.036493,381837229976050,OTHER
6,-0.019154,-0.316035,10.01734,381837250025708,OTHER
7,-0.019154,-0.440533,10.007763,381837270105883,OTHER
8,-0.02873,-0.296881,10.007763,381837290186057,OTHER
9,0.019154,-0.316035,10.007763,381837310266233,OTHER
10,0,-0.287304,9.911995,381837330346407,OTHER
11,-0.057461,-0.354342,9.979033,381837350426581,OTHER
12,-0.02873,-0.306458,9.979033,381837370506757,OTHER
13,0.047884,-0.325611,10.093954,381837390556415,OTHER
14,0.038307,-0.363919,9.864111,381837410636589,OTHER
15,0.057461,-0.306458,9.979033,381837430716764,OTHER
16,0.009577,-0.316035,9.959879,381837450796939,OTHER
17,-0.02873,-0.325611,9.969456,381837470877113,OTHER
18,-0.076614,-0.277727,9.979033,381837490957289,OTHER
19,-0.02873,-0.306458,9.921572,381837511037463,OTHER
20,0,-0.306458,10.007763,381837531117637,OTHER
21,0.019154,-0.335188,9.998186,381837551197813,OTHER
22,0.047884,-0.335188,10.007763,381837571277987,OTHER
23,0,-0.268151,9.988609,381837591358163,OTHER
24,0.047884,-0.306458,10.065224,381837611407820,OTHER
25,-0.019154,-0.277727,10.026917,381837631487995,OTHER
26,-0.009577,-0.316035,9.969456,381837651568169,OTHER
27,0,-0.268151,9.998186,381837671648345,OTHER
28,0.019154,-0.363919,9.940725,381837691728519,OTHER
29,0.009577,-0.363919,10.01734,381837711808694,OTHER
30,0.009577,-0.296881,10.036493,381837731888869,OTHER
31,-0.076614,-0.316035,9.921572,381837751969043,OTHER
32,0.076614,-0.258574,10.065224,381837772049219,OTHER
33,0,-0.363919,9.998186,381837792129393,OTHER
34,-0.124498,-0.823605,9.835381,381837812209568,OTHER
35,0.296881,-3.677494,9.988609,381837832289743,OTHER
36,0.02873,-1.541866,9.950302,381837852369917,OTHER
37,0.670376,-1.503559,9.998186,381837872450093,OTHER
38,0.622492,-1.024718,10.122684,381837892499751,OTHER
39,0.335188,-1.072602,10.084377,381837912579925,OTHER
40,0.383072,-1.331176,10.0748,381837932660099,OTHER
41,-0.42138,-0.545878,10.572795,381837952740275,OTHER
42,-0.440533,-0.746991,10.208876,381837972820449,OTHER
43,-0.622492,-0.651223,9.911995,381837992900624,OTHER
44,-0.47884,-0.430956,9.864111,381838012980799,OTHER
45,-0.823605,-0.670376,9.643845,381838033060973,OTHER
46,-0.804452,-0.679953,10.113108,381838053141149,OTHER
47,-0.47884,-0.383072,9.911995,381838073221323,OTHER
48,-0.47884,1.235408,10.141838,381838093301498,OTHER
49,-0.287304,1.359907,9.864111,381838113351155,OTHER
50,-0.114922,0.708684,9.969456,381838133431331,OTHER
51,-0.105345,0.488417,9.959879,381838153511505,OTHER
52,0.067038,0.565032,9.653421,381838173591680,OTHER
53,0.565032,1.493982,9.940725,381838193671855,OTHER
54,0.6608,1.254562,9.988609,381838213752029,OTHER
55,0.632069,1.254562,10.390836,381838233832205,OTHER
56,0.02873,-0.392649,9.998186,381838253912379,OTHER
57,0.047884,-0.325611,9.911995,381838273992554,OTHER
58,0.153229,-0.306458,10.160992,381838294072729,OTHER
59,0.076614,-0.316035,10.055647,381838314152904,OTHER
60,0.038307,-0.287304,10.01734,381838334233079,OTHER
61,0.02873,-0.363919,9.959879,381838354282736,OTHER
62,0,-0.325611,10.026917,381838374362911,OTHER
63,-0.038307,-0.277727,10.026917,381838394443086,OTHER
64,0.057461,-0.344765,10.01734,381838414523261,OTHER
65,-0.038307,-0.306458,10.01734,381838434603435,OTHER
