@relation dataset_accelerometer_unlabeled

@attribute ﻿id numeric
@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute timestamp numeric

@data
0,0.076614,-0.316035,10.007763,381837129575176
1,0.009577,-0.354342,9.959879,381837149655351
2,-0.019154,-0.325611,10.026917,381837169735525
3,-0.02873,-0.23942,10.007763,381837189815701
4,-0.02873,-0.316035,10.026917,381837209895875
5,-0.019154,-0.373495,10.036493,381837229976050
6,-0.019154,-0.316035,10.01734,381837250025708
7,-0.019154,-0.440533,10.007763,381837270105883
8,-0.02873,-0.296881,10.007763,381837290186057
9,0.019154,-0.316035,10.007763,381837310266233
10,0,-0.287304,9.911995,381837330346407
11,-0.057461,-0.354342,9.979033,381837350426581
12,-0.02873,-0.306458,9.979033,381837370506757
13,0.047884,-0.325611,10.093954,381837390556415
14,0.038307,-0.363919,9.864111,381837410636589
15,0.057461,-0.306458,9.979033,381837430716764
16,0.009577,-0.316035,9.959879,381837450796939
17,-0.02873,-0.325611,9.969456,381837470877113
18,-0.076614,-0.277727,9.979033,381837490957289
19,-0.02873,-0.306458,9.921572,381837511037463
20,0,-0.306458,10.007763,381837531117637
21,0.019154,-0.335188,9.998186,381837551197813
22,0.047884,-0.335188,10.007763,381837571277987
23,0,-0.268151,9.988609,381837591358163
24,0.047884,-0.306458,10.065224,381837611407820
25,-0.019154,-0.277727,10.026917,381837631487995
26,-0.009577,-0.316035,9.969456,381837651568169
27,0,-0.268151,9.998186,381837671648345
28,0.019154,-0.363919,9.940725,381837691728519
29,0.009577,-0.363919,10.01734,381837711808694
30,0.009577,-0.296881,10.036493,381837731888869
31,-0.076614,-0.316035,9.921572,381837751969043
32,0.076614,-0.258574,10.065224,381837772049219
33,0,-0.363919,9.998186,381837792129393
34,-0.124498,-0.823605,9.835381,381837812209568
35,0.296881,-3.677494,9.988609,381837832289743
36,0.02873,-1.541866,9.950302,381837852369917
37,0.670376,-1.503559,9.998186,381837872450093
38,0.622492,-1.024718,10.122684,381837892499751
39,0.335188,-1.072602,10.084377,381837912579925
40,0.383072,-1.331176,10.0748,381837932660099
41,-0.42138,-0.545878,10.572795,381837952740275
42,-0.440533,-0.746991,10.208876,381837972820449
43,-0.622492,-0.651223,9.911995,381837992900624
44,-0.47884,-0.430956,9.864111,381838012980799
45,-0.823605,-0.670376,9.643845,381838033060973
46,-0.804452,-0.679953,10.113108,381838053141149
47,-0.47884,-0.383072,9.911995,381838073221323
48,-0.47884,1.235408,10.141838,381838093301498
49,-0.287304,1.359907,9.864111,381838113351155
50,-0.114922,0.708684,9.969456,381838133431331
51,-0.105345,0.488417,9.959879,381838153511505
52,0.067038,0.565032,9.653421,381838173591680
